K,lambda,val_acc
8,0.0005,0.9154712557792664
8,0.001,0.9154712557792664
8,0.005,0.9159835577011108
16,0.0005,0.9159835577011108
16,0.001,0.9154712557792664
16,0.005,0.9159835577011108
32,0.0005,0.9159835577011108
32,0.001,0.9154712557792664
32,0.005,0.9154712557792664
64,0.0005,0.9159835577011108
64,0.001,0.9154712557792664
64,0.005,0.9154712557792664
