K,lambda,val_acc
8,0.0005,0.9198880195617676
8,0.001,0.9198880195617676
8,0.005,0.9204482436180115
16,0.0005,0.9198880195617676
16,0.001,0.9204482436180115
16,0.005,0.9215686917304993
32,0.0005,0.9204482436180115
32,0.001,0.9204482436180115
32,0.005,0.9204482436180115
64,0.0005,0.9204482436180115
64,0.001,0.9210084676742554
64,0.005,0.9210084676742554
